@RELATION demanda_lavadero_jornada_clasificada

@ATTRIBUTE Dia_Semana {Lunes, Martes, Miercoles, Jueves, Viernes, Sabado, Domingo}
@ATTRIBUTE Jornada {Mañana, Tarde, Noche}
@ATTRIBUTE Clima {Soleado, Lluvioso, Nublado}
@ATTRIBUTE Temperatura NUMERIC
@ATTRIBUTE Tipo_Servicio {Basico, Completo, Premium}
@ATTRIBUTE Historial_Visitas NUMERIC
@ATTRIBUTE Promociones_Activas {Si, No}
@ATTRIBUTE Clientes_Estimados {Baja, Media, Alta}

@DATA
Martes,Noche,Lluvioso,18.4,Premium,20,No,Media
Martes,Tarde,Soleado,29.2,Basico,1,No,Alta
Lunes,Tarde,Soleado,29.3,Completo,16,No,Alta
Viernes,Tarde,Soleado,27.4,Basico,1,No,Alta
Miercoles,Mañana,Lluvioso,15.3,Completo,19,Si,Media
Domingo,Mañana,Nublado,17.6,Basico,1,Si,Media
Domingo,Mañana,Nublado,28.4,Basico,2,Si,Media
Miercoles,Mañana,Lluvioso,21.5,Basico,3,No,Media
Jueves,Noche,Nublado,16.3,Basico,9,No,Media
Martes,Noche,Lluvioso,21.5,Premium,11,No,Baja
Viernes,Mañana,Soleado,30.7,Basico,13,No,Alta
Martes,Tarde,Soleado,31.0,Completo,9,No,Media
Miercoles,Mañana,Nublado,28.2,Premium,10,Si,Alta
Jueves,Mañana,Soleado,30.4,Basico,15,Si,Alta
Lunes,Mañana,Lluvioso,20.2,Premium,0,No,Baja
Martes,Tarde,Lluvioso,13.3,Premium,6,Si,Alta
Lunes,Mañana,Soleado,24.3,Basico,5,Si,Alta
Miercoles,Noche,Nublado,29.6,Basico,18,No,Alta
Miercoles,Tarde,Lluvioso,17.5,Completo,14,Si,Alta
Lunes,Tarde,Nublado,22.7,Completo,20,No,Media
Lunes,Noche,Soleado,26.7,Premium,12,No,Alta
Viernes,Tarde,Nublado,21.7,Completo,6,No,Media
Domingo,Tarde,Nublado,16.0,Completo,2,No,Media
Viernes,Tarde,Nublado,28.1,Premium,16,No,Media
Domingo,Mañana,Nublado,19.1,Basico,13,No,Media
Domingo,Noche,Nublado,29.4,Completo,3,Si,Alta
Domingo,Noche,Soleado,27.8,Premium,11,No,Media
Lunes,Mañana,Nublado,19.1,Completo,11,Si,Media
Miercoles,Tarde,Soleado,33.3,Basico,9,No,Alta
Lunes,Noche,Lluvioso,22.9,Premium,0,Si,Media
Sabado,Noche,Lluvioso,12.4,Basico,13,Si,Baja
Jueves,Tarde,Nublado,17.6,Completo,1,No,Media
Martes,Tarde,Soleado,24.1,Basico,9,Si,Alta
Miercoles,Tarde,Lluvioso,15.7,Completo,19,Si,Alta
Martes,Noche,Nublado,29.8,Completo,4,Si,Media
Lunes,Tarde,Lluvioso,10.6,Premium,11,No,Media
Viernes,Noche,Nublado,16.4,Basico,14,Si,Alta
Lunes,Mañana,Nublado,25.7,Completo,4,No,Media
Miercoles,Tarde,Nublado,27.1,Basico,2,Si,Alta
Sabado,Noche,Lluvioso,20.5,Premium,16,Si,Alta
Sabado,Noche,Soleado,21.1,Completo,15,Si,Alta
Domingo,Tarde,Lluvioso,10.7,Basico,9,No,Media
Miercoles,Noche,Lluvioso,11.5,Completo,3,No,Baja
Jueves,Tarde,Lluvioso,22.5,Completo,5,No,Media
Miercoles,Noche,Soleado,23.4,Basico,4,No,Media
Viernes,Noche,Nublado,18.5,Completo,3,Si,Media
Jueves,Noche,Nublado,19.4,Basico,13,No,Media
Miercoles,Mañana,Nublado,29.5,Premium,12,Si,Media
Domingo,Tarde,Lluvioso,18.6,Premium,7,No,Media
Miercoles,Mañana,Lluvioso,12.1,Completo,9,Si,Media
Miercoles,Tarde,Lluvioso,20.9,Premium,17,Si,Alta
Miercoles,Tarde,Soleado,29.6,Premium,3,Si,Media
Viernes,Noche,Nublado,25.1,Premium,11,No,Alta
Sabado,Tarde,Lluvioso,18.9,Completo,0,No,Baja
