@relation lavadero_autos-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5

@attribute Dia_Semana {Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo}
@attribute Hora numeric
@attribute Clima {Soleado,Lluvioso,Nublado}
@attribute Temperatura numeric
@attribute Historial_Visitas numeric
@attribute Promociones_Activas {Si,No}
@attribute Demanda_Alta {Si,No}

@data

Miercoles,18,Lluvioso,14,12,No,Si
Lunes,19,Lluvioso,14.7,11,Si,Si
Domingo,16,Nublado,23.9,2,Si,No
Domingo,9,Lluvioso,24.4,15,Si,No
Miercoles,19,Soleado,29.2,7,No,Si
Domingo,14,Nublado,24.5,1,Si,No
Sabado,16,Lluvioso,24.4,7,Si,No
Martes,11,Nublado,27.1,15,No,No
Lunes,14,Nublado,22.2,20,Si,No
Domingo,15,Nublado,28.9,19,No,Si
Domingo,17,Soleado,32.6,10,Si,Si
Viernes,14,Lluvioso,21,19,No,No
Martes,15,Nublado,19.9,7,Si,No
Viernes,8,Soleado,33.1,1,No,No
Jueves,19,Lluvioso,17.6,11,No,No
Sabado,20,Nublado,16.4,17,No,No
Viernes,20,Lluvioso,10.8,1,No,Si
Martes,16,Nublado,23.6,14,Si,No
Martes,8,Soleado,31,4,Si,No
Viernes,16,Lluvioso,23.9,13,Si,No
Jueves,18,Nublado,21.6,18,No,No
Lunes,8,Nublado,18.4,7,No,No
Sabado,19,Nublado,22.9,16,No,No
Domingo,19,Lluvioso,21.2,19,Si,Si
Sabado,14,Lluvioso,24.8,7,Si,No
Viernes,17,Nublado,19.3,15,Si,Si
Sabado,9,Nublado,27.7,8,Si,Si
Viernes,8,Nublado,27,15,No,No
Miercoles,12,Soleado,32,1,No,No
Jueves,14,Lluvioso,22.1,15,Si,No
Jueves,18,Lluvioso,24.5,18,No,Si
Domingo,15,Soleado,27.9,7,Si,Si
Jueves,19,Lluvioso,16.9,19,Si,Si
Lunes,16,Lluvioso,20.9,15,Si,No
Domingo,19,Lluvioso,14.4,2,No,Si
Viernes,18,Nublado,26.8,10,No,No
Sabado,18,Nublado,24.8,6,Si,Si
Martes,9,Soleado,31.3,13,Si,No
Viernes,12,Lluvioso,20,11,Si,No
Miercoles,20,Nublado,28.9,16,No,Si
Viernes,10,Lluvioso,20.7,0,No,No
Jueves,12,Soleado,23.2,11,Si,No
Lunes,17,Soleado,26.5,17,No,No
Sabado,15,Soleado,28.8,17,Si,No
Martes,10,Nublado,27.9,1,Si,No
Domingo,9,Nublado,21.6,12,No,No
Lunes,19,Lluvioso,14.3,18,Si,Si
Domingo,10,Soleado,26.3,0,Si,Si
Viernes,14,Nublado,26,15,Si,No
Martes,15,Lluvioso,15.1,16,No,No
Jueves,17,Soleado,30.8,10,Si,Si
Sabado,17,Lluvioso,20.3,11,Si,Si
Jueves,12,Soleado,22.1,12,Si,No
Lunes,16,Soleado,26.2,12,No,No
Lunes,19,Lluvioso,12.2,1,No,Si
Martes,15,Nublado,18.5,19,No,No
Martes,19,Nublado,27.3,13,Si,Si
Martes,14,Soleado,25.3,13,Si,No
Sabado,19,Lluvioso,17.5,17,No,No
Sabado,12,Nublado,30,2,No,Si
Sabado,13,Nublado,28.8,9,Si,Si
Jueves,17,Nublado,29.3,1,No,Si
Martes,9,Soleado,25.9,6,No,No
Lunes,15,Nublado,20.8,11,Si,No
Domingo,11,Soleado,33.1,20,No,Si
Domingo,10,Lluvioso,21,6,Si,No
Jueves,8,Lluvioso,21,4,Si,No
Miercoles,11,Nublado,20.8,12,Si,No
Domingo,10,Nublado,15.7,8,No,Si
Martes,12,Nublado,20.1,14,Si,No
Jueves,20,Nublado,29.2,0,Si,Si
Martes,19,Lluvioso,16.3,12,Si,Si
Viernes,8,Soleado,28.1,4,No,No
Lunes,9,Nublado,21,17,Si,No
Lunes,12,Nublado,25.2,18,No,No
Domingo,15,Lluvioso,24.6,14,No,Si
Miercoles,17,Nublado,22.8,0,No,No
Miercoles,9,Soleado,30.7,5,Si,No
Lunes,14,Lluvioso,17.7,17,Si,No
Domingo,13,Soleado,21.3,0,No,No
Lunes,15,Nublado,18.5,11,Si,No
Miercoles,10,Nublado,21.9,14,No,No
Jueves,16,Nublado,22.6,4,No,No
Viernes,14,Lluvioso,16.2,15,No,No
Domingo,8,Lluvioso,22.7,13,No,No
Martes,17,Lluvioso,17.2,0,No,Si
Viernes,8,Lluvioso,15.7,18,No,No
Domingo,13,Soleado,24.6,2,No,Si
Viernes,20,Nublado,29.4,3,Si,Si
Jueves,15,Soleado,24,9,No,No
Domingo,16,Nublado,23.4,1,Si,Si
Miercoles,15,Lluvioso,21.1,13,No,No
Miercoles,10,Soleado,29.5,1,No,No
Lunes,10,Nublado,25.9,12,Si,No
Lunes,17,Soleado,34.2,12,No,Si
Miercoles,17,Nublado,15.8,0,No,Si
Viernes,11,Soleado,30.1,11,No,No
Viernes,15,Lluvioso,13.9,3,No,No
Domingo,14,Soleado,31.3,4,Si,Si
Sabado,16,Nublado,29.6,3,Si,Si
Martes,11,Soleado,23.3,6,No,No
Miercoles,8,Nublado,17.4,16,No,No
Domingo,13,Soleado,25.1,5,No,Si
Jueves,18,Soleado,30.1,17,Si,Si
Domingo,15,Lluvioso,10.7,11,Si,Si
Viernes,16,Lluvioso,21.8,18,No,No
Lunes,11,Soleado,30.6,19,No,No
Martes,13,Nublado,21.5,17,Si,No
Sabado,11,Nublado,23.6,7,No,No
Viernes,17,Soleado,21.5,8,No,Si
Lunes,16,Nublado,25.7,9,No,No
Jueves,9,Nublado,15.4,10,Si,No
Lunes,14,Nublado,17.6,18,No,No
